Date;Ticker;Close
2/01/2024;MMM;9,19732E+14
3/01/2024;MMM;9,01254E+15
4/01/2024;MMM;9,04431E+15
5/01/2024;MMM;9,07943E+14
8/01/2024;MMM;9,10201E+15
9/01/2024;MMM;9,12207E+15
10/01/2024;MMM;9,05518E+15
11/01/2024;MMM;9,10702E+15
12/01/2024;MMM;9,04013E+15
16/01/2024;MMM;900
17/01/2024;MMM;8,86956E+15
18/01/2024;MMM;8,89967E+15
19/01/2024;MMM;9,01003E+15
22/01/2024;MMM;9,03177E+14
23/01/2024;MMM;8,03512E+14
24/01/2024;MMM;7,79599E+15
25/01/2024;MMM;8,02508E+15
26/01/2024;MMM;8,02592E+15
29/01/2024;MMM;8,05853E+15
30/01/2024;MMM;8,00585E+15
31/01/2024;MMM;7,8888E+14
1/02/2024;MMM;8,01923E+15
2/02/2024;MMM;7,93227E+15
5/02/2024;MMM;7,75334E+13
6/02/2024;MMM;7,83946E+15
7/02/2024;MMM;7,84615E+15
8/02/2024;MMM;7,79264E+15
9/02/2024;MMM;7,76756E+15
12/02/2024;MMM;7,91221E+11
13/02/2024;MMM;7,74749E+15
14/02/2024;MMM;7,72742E+15
15/02/2024;MMM;7,72408E+15
16/02/2024;MMM;7,6296E+15
20/02/2024;MMM;7,67726E+15
21/02/2024;MMM;7,66806E+15
22/02/2024;MMM;7,71154E+15
23/02/2024;MMM;7,7408E+15
26/02/2024;MMM;7,67726E+15
27/02/2024;MMM;7,71739E+15
28/02/2024;MMM;7,64716E+15
29/02/2024;MMM;7,70234E+14
1/03/2024;MMM;7,6806E+15
4/03/2024;MMM;7,64548E+15
5/03/2024;MMM;775
6/03/2024;MMM;7,73579E+15
7/03/2024;MMM;7,74415E+15
8/03/2024;MMM;7,85117E+15
11/03/2024;MMM;7,86371E+15
12/03/2024;MMM;8,25418E+15
13/03/2024;MMM;8,70151E+15
14/03/2024;MMM;8,62207E+15
15/03/2024;MMM;8,77926E+15
18/03/2024;MMM;8,76254E+15
19/03/2024;MMM;8,80602E+14
20/03/2024;MMM;9,0393E+15
21/03/2024;MMM;9,01923E+15
22/03/2024;MMM;8,92809E+15
25/03/2024;MMM;8,76589E+15
26/03/2024;MMM;8,5811E+12
27/03/2024;MMM;8,74498E+15
28/03/2024;MMM;8,86873E+15
2/01/2024;AOS;8,144E+15
3/01/2024;AOS;7,871E+15
4/01/2024;AOS;7,938E+15
5/01/2024;AOS;7,904E+15
8/01/2024;AOS;7,927E+14
9/01/2024;AOS;7,984E+15
10/01/2024;AOS;8,048E+14
11/01/2024;AOS;8,066E+15
12/01/2024;AOS;8,111E+15
16/01/2024;AOS;8,098E+14
17/01/2024;AOS;8,012E+15
18/01/2024;AOS;8,058E+15
19/01/2024;AOS;8,121E+15
22/01/2024;AOS;8,212E+15
23/01/2024;AOS;8,185E+14
24/01/2024;AOS;8,033E+15
25/01/2024;AOS;8,127E+14
26/01/2024;AOS;8,092E+15
29/01/2024;AOS;8,165E+14
30/01/2024;AOS;7,972E+15
31/01/2024;AOS;7,761E+15
1/02/2024;AOS;7,957E+15
2/02/2024;AOS;7,833E+15
5/02/2024;AOS;7,709E+15
6/02/2024;AOS;7,822E+15
7/02/2024;AOS;7,984E+15
8/02/2024;AOS;8025
9/02/2024;AOS;8,054E+15
12/02/2024;AOS;8,128E+15
13/02/2024;AOS;7925
14/02/2024;AOS;8,117E+15
15/02/2024;AOS;810
16/02/2024;AOS;8,009E+15
20/02/2024;AOS;7,964E+15
21/02/2024;AOS;8,023E+14
22/02/2024;AOS;8,061E+15
23/02/2024;AOS;8,14E+14
26/02/2024;AOS;8,159E+15
27/02/2024;AOS;8,23E+15
28/02/2024;AOS;8,289E+15
29/02/2024;AOS;8,29E+14
1/03/2024;AOS;8,394E+15
4/03/2024;AOS;8,51E+14
5/03/2024;AOS;8,369E+15
6/03/2024;AOS;845
7/03/2024;AOS;8,665E+14
8/03/2024;AOS;8,582E+15
11/03/2024;AOS;8,531E+15
12/03/2024;AOS;8,593E+15
13/03/2024;AOS;8,616E+15
14/03/2024;AOS;8,662E+15
15/03/2024;AOS;8,709E+15
18/03/2024;AOS;8,586E+15
19/03/2024;AOS;8,678E+15
20/03/2024;AOS;8,764E+15
21/03/2024;AOS;8,988E+15
22/03/2024;AOS;8,928E+15
25/03/2024;AOS;8,804E+15
26/03/2024;AOS;8,788E+15
27/03/2024;AOS;8,885E+14
28/03/2024;AOS;8,946E+15
2/01/2024;ABT;1,0985E+15
3/01/2024;ABT;1,0952E+15
4/01/2024;ABT;1,1098E+15
5/01/2024;ABT;1,108E+16
8/01/2024;ABT;1,124E+15
9/01/2024;ABT;1,1273E+15
10/01/2024;ABT;1,144E+15
11/01/2024;ABT;1135
12/01/2024;ABT;1,1392E+16
16/01/2024;ABT;1,1376E+16
17/01/2024;ABT;1,1393E+16
18/01/2024;ABT;1,1402E+15
19/01/2024;ABT;1,1469E+16
22/01/2024;ABT;1,1419E+16
23/01/2024;ABT;1140
24/01/2024;ABT;1,1077E+15
25/01/2024;ABT;1,1245E+16
26/01/2024;ABT;1,1201E+16
29/01/2024;ABT;1,1345E+16
30/01/2024;ABT;1,1348E+15
31/01/2024;ABT;1,1315E+15
1/02/2024;ABT;1,1449E+16
2/02/2024;ABT;1,1211E+16
5/02/2024;ABT;1,1165E+15
6/02/2024;ABT;1140
7/02/2024;ABT;1,1331E+16
8/02/2024;ABT;1,1243E+16
9/02/2024;ABT;1,1181E+16
12/02/2024;ABT;1,1253E+16
13/02/2024;ABT;1,1134E+16
14/02/2024;ABT;1,1206E+16
15/02/2024;ABT;1,1364E+16
16/02/2024;ABT;1,1401E+16
20/02/2024;ABT;1,1664E+16
21/02/2024;ABT;1,1787E+16
22/02/2024;ABT;1,1902E+15
23/02/2024;ABT;1,1946E+16
26/02/2024;ABT;1,1869E+16
27/02/2024;ABT;1,194E+15
28/02/2024;ABT;1,2005E+16
29/02/2024;ABT;1,1864E+16
1/03/2024;ABT;1,1862E+16
4/03/2024;ABT;1,2004E+16
5/03/2024;ABT;1,1848E+15
6/03/2024;ABT;1,1934E+16
